2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jordan Bell,Min,F,25.15,27,8.7,18.1,15.9,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.6,0.5,8.6,0.07,0.37,0.67,7.6,107.7,108.3
,Jordan Bell,Mem,F,25.15,2,10.7,22.3,21.1,27.6,2,1,4,0.25,3,0.667,0.571,0.635,5,1.5,7.4,1,12.4,0.5,0,1.5,7.3,102.8,107.2
,DeAndre' Bembry,Atl,G-F,25.67,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.3,1.28,0.44,1.4,6.3,94.5,108
,Dragan Bender,Mil,F,22.29,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.5,0,0.71,0.71,7.4,105,87
,Dragan Bender,Gol,F,22.29,6,23.4,48.6,19.1,19.1,4,0.5,25,0.44,24,0.292,0.439,0.443,7.5,6.3,14.7,1.8,11.8,0.67,0.67,2,7.5,87,102.4
,Davis Bertans,Was,F,27.31,50,29.4,61.3,18.6,8.2,106,0.868,131,0.466,427,0.426,0.599,0.628,15.2,4.7,8.7,1.7,8.1,0.72,0.64,1.08,6.7,120,111.5
,Patrick Beverley,Lac,G,31.64,45,27.3,56.9,13,15.1,38,0.632,119,0.521,191,0.366,0.539,0.548,8,5.5,10.4,3.9,18.7,1.11,0.56,1.29,8.1,114.7,97.7
,Khem Birch,Orl,C,27.43,39,19.9,41.4,9.3,13.8,67,0.612,113,0.496,1,0,0.491,0.533,3.9,4.6,12.4,0.9,6.1,0.41,0.54,0.59,5.1,115.4,102.9
,Goga Bitadze,Ind,C-F,20.62,46,8.5,17.8,17.4,14.8,31,0.71,88,0.58,31,0.161,0.492,0.524,3,2,12.8,0.5,7.3,0.11,0.67,0.5,6.8,99.8,96.7
,Bismack Biyombo,Cha,C,27.51,51,19.3,40.2,17.1,12.5,148,0.601,271,0.539,0,0,0.539,0.567,7.5,5.9,16.5,0.9,7.9,0.2,0.92,0.94,7.1,114.2,102.6
,Nemanja Bjelica,Sac,F,31.82,61,28.5,59.4,17.4,12.5,68,0.809,294,0.517,284,0.433,0.582,0.599,11.9,6.4,12.7,2.8,14.7,0.87,0.52,1.43,8.4,117.6,102.7
,Eric Bledsoe,Mil,G,30.23,53,27,56.3,24,15.7,180,0.828,431,0.534,191,0.351,0.531,0.578,15.3,4.7,8.6,5.4,28.4,0.91,0.47,2.47,10.8,112.4,97.1
,Bojan Bogdanovic,Uta,F,30.88,59,33.3,69.4,25.6,13,262,0.901,451,0.475,434,0.417,0.549,0.603,20.5,4.2,6.8,2.1,10.1,0.58,0.1,2.54,6.8,111,108.1
,Bogdan Bogdanovic,Sac,G,27.54,50,28.3,59,22.6,11.3,102,0.725,247,0.526,359,0.357,0.531,0.552,14.4,3.1,6.2,3.1,16.8,1.04,0.24,1.66,7.3,106.8,107.8
,Jonah Bolden,Phi,F,24.17,4,3.6,7.4,17.8,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.8,0,0,0.25,0,0.5,0,,
,Jonah Bolden,Pho,F,24.17,3,10.9,22.8,11.5,0,2,1,5,0.4,3,0,0.25,0.338,2,2.7,13.6,0,0,0.67,0.67,0,0,92.8,92.9
,Marques Bolden,Cle,C,21.88,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,2,39.7,0,0,1,0,0,0,,
,Jordan Bone,Det,G,22.33,10,5.3,11,18.1,9.1,0,0,10,0.3,10,0.2,0.3,0.3,1.2,0.4,4.3,0.8,20.9,0.1,0,0.2,5.5,76.3,106
,Isaac Bonga,Was,G,20.32,55,17.6,36.7,10.3,15.9,60,0.8,122,0.566,53,0.396,0.574,0.618,4.5,3.3,10.2,1.1,7.6,0.62,0.36,0.69,5.8,120.4,105.8
,Devin Booker,Pho,G,23.34,59,36.1,75.1,29.4,15.7,421,0.917,728,0.545,328,0.357,0.542,0.617,25.9,4.1,6.3,6.4,29.6,0.71,0.24,3.92,9.7,113.8,107.7
,Chris Boucher,Tor,F-C,27.14,53,13.4,27.9,19.5,7.1,103,0.796,160,0.563,96,0.292,0.516,0.574,6.5,4.5,17.9,0.4,4.8,0.4,0.98,0.43,6.8,122.4,92.1
,Brian Bowen II,Ind,F-G,21.42,4,3.5,7.2,15.8,0,0,0,4,0.5,1,0,0.4,0.4,1,0.8,11.9,0,0,0,0.25,0,0,,
,Ky Bowman,Gol,G,22.72,44,22.5,46.9,17.3,17.2,41,0.829,210,0.462,105,0.305,0.46,0.486,7.4,2.6,6.3,3,19.7,1.02,0.23,1.57,6.9,94.8,107.1
,Avery Bradley,Lal,G,29.27,46,23.7,49.4,15.5,10.2,22,0.818,200,0.51,150,0.367,0.527,0.538,8.4,2.3,5.4,1.3,7.1,0.87,0.11,0.89,4.9,104.3,102
,Tony Bradley,Uta,C-F,22.07,46,10.4,21.6,16.2,12.4,38,0.658,137,0.65,1,1,0.656,0.666,4.5,4.2,22.3,0.3,4.8,0.22,0.39,0.48,6.9,133,90.1
,Jarrell Brantley,Uta,F,23.74,4,3,6.2,7.3,100,0,0,0,0,0,0,,,0,1.3,22.9,0.3,10,0,0.5,0.5,0,,
,Ignas Brazdeikis,Nyk,F,21.15,9,5.9,12.3,20.8,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,5,0.4,10.6,0,0.11,0.22,5.2,82.1,115
,Miles Bridges,Cha,F,21.95,61,30.8,64.2,19.8,10.6,119,0.807,424,0.493,284,0.342,0.501,0.529,13.2,5.5,9.7,1.7,9.2,0.64,0.72,1.48,6.5,103.8,109
,Mikal Bridges,Pho,F,23.51,62,26.6,55.4,12.4,12.5,98,0.837,230,0.609,148,0.351,0.577,0.615,8.4,3.9,8.1,1.7,8.9,1.5,0.58,0.97,5.7,117.3,105.1
